municipio;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2007
220005 ACAUA;0;82.52;80.58;88.46;102.56;73.75;93.1;106.9;108.24;78.1;0
220010 AGRICOLANDIA;0;98.67;81.33;106.15;104.17;110;127.63;92.11;120.55;79.01;0
220020 AGUA BRANCA;0;107.58;107.94;107.29;87.55;101.69;102.2;91.58;91.01;91.88;0
220025 ALAGOINHA DO PIAUI;0;125.56;102.22;99;97.78;76.4;100;106.41;89.41;90.59;0
220027 ALEGRETE DO PIAUI;0;91.89;124.32;67.03;74.63;71.01;149.15;108.47;137.04;76.62;0
220030 ALTO LONGA;0;75.46;73.01;90.14;85.38;78.2;96.03;97.62;107.14;102.05;0
220040 ALTOS;0;67.26;101.29;86.3;33.63;101.32;90.99;93.88;97.02;82.58;0
220045 ALVORADA DO GURGUEIA;0;115.96;82.98;65.26;70.24;79.73;106.76;118.92;92.5;63.74;0
220050 AMARANTE;0;147.73;105.3;90.87;55.84;101.17;112.7;92.86;95.75;90.51;0
220060 ANGICAL DO PIAUI;1.11;111.11;97.78;107.87;59.04;93.68;128.4;112.35;88.7;100;0
220070 ANISIO DE ABREU;0;132.85;107.3;141.13;90.58;106.29;90;76.67;78.17;83.87;0
220080 ANTONIO ALMEIDA;0;83.33;106.25;121.62;128.95;95.45;76;104;93.33;148.78;0
220090 AROAZES;0;87.1;62.37;67.95;127.45;115.25;132.84;97.01;76.74;93.65;0
220095 AROEIRAS DO ITAIM;0;55;195;88.89;75.86;133.33;88;56;100;115;0
220100 ARRAIAL;0;144.78;222.39;167.11;112.5;90.2;114;104;128.26;66.67;0
220105 ASSUNCAO DO PIAUI;0;116.99;80.39;80.54;94.21;124.77;79.39;87.79;112.07;87.39;0
220110 AVELINO LOPES;0;126.63;105.43;97.81;77.37;65.22;58.24;80.22;99.41;99.47;0
220115 BAIXA GRANDE DO RIBEIRO;0;128.7;113.48;96.1;119.77;110.7;73.64;83.64;74.52;119.6;0
220117 BARRA D\'ALCANTARA;0;193.33;113.33;100;89.09;110.87;138;108;75.86;95.45;0
220120 BARRAS;0;112.59;106.36;106.75;84.94;78.82;77.3;93.62;90.56;97.56;0
220130 BARREIRAS DO PIAUI;0;97.06;152.94;110;34.78;37.5;108;84;100;89.74;0
220140 BARRO DURO;0;124.07;110.19;168;137.93;95.1;88.03;70.09;93.62;140.74;0
220150 BATALHA;0;105.56;93.33;92.95;89.39;102.94;102.38;79.46;67.67;74.72;0
220155 BELA VISTA DO PIAUI;0;93.33;86.67;143.59;35.09;88;83.33;93.75;92.16;128.21;0
220157 BELEM DO PIAUI;0;135.29;76.47;126.32;22.58;89.47;133.33;146.67;91.67;61.54;0
