"Município";"2010";"2011";"2012";"2013";"2014";"2015";"2016";"2017";"2018";"2019";" Total"
"220005 ACAUA";"1,94";"71,84";"104,85";"83,65";"110,26";"80,00";"80,46";"108,05";"120,00";"80,00";"82,46"
"220010 AGRICOLANDIA";"0";"72,00";"102,67";"101,54";"94,44";"116,00";"125,00";"110,53";"112,33";"82,72";"90,67"
"220020 AGUA BRANCA";"0,36";"72,56";"101,08";"109,31";"81,68";"91,19";"101,47";"98,53";"92,81";"99,35";"84,74"
"220025 ALAGOINHA DO PIAUI";"0";"87,78";"105,56";"85,00";"104,44";"65,17";"98,72";"114,10";"89,41";"92,94";"83,66"
"220027 ALEGRETE DO PIAUI";"0";"72,97";"118,92";"54,95";"77,61";"72,46";"130,51";"115,25";"146,30";"63,64";"81,23"
"220030 ALTO LONGA";"0";"56,44";"58,90";"87,32";"86,15";"79,70";"97,62";"96,03";"110,32";"97,95";"74,47"
"220040 ALTOS";"0";"32,74";"55,81";"85,81";"39,18";"79,96";"104,93";"102,72";"104,80";"94,56";"69,82"
"220045 ALVORADA DO GURGUEIA";"0";"90,43";"78,72";"64,21";"66,67";"66,22";"104,05";"110,81";"95,00";"65,93";"72,60"
"220050 AMARANTE";"0";"84,47";"91,29";"92,40";"39,42";"89,06";"110,71";"91,67";"96,41";"105,47";"80,07"
"220060 ANGICAL DO PIAUI";"0";"41,11";"117,78";"119,10";"71,08";"96,84";"128,40";"118,52";"92,17";"120,00";"89,88"
"220070 ANISIO DE ABREU";"0,73";"105,11";"100,73";"110,64";"92,75";"96,50";"94,00";"82,67";"82,39";"95,97";"86,20"
"220080 ANTONIO ALMEIDA";"0";"70,83";"77,08";"102,70";"121,05";"106,82";"92,00";"92,00";"108,89";"158,54";"90,87"
"220090 AROAZES";"0";"65,59";"60,22";"58,97";"111,76";"122,03";"140,30";"95,52";"82,56";"96,83";"77,60"
"220095 AROEIRAS DO ITAIM";"0";"35,00";"150,00";"114,81";"72,41";"100,00";"96,00";"48,00";"105,26";"110,00";"83,19"
"220100 ARRAIAL";"0";"119,40";"213,43";"196,05";"142,19";"98,04";"112,00";"136,00";"113,04";"71,67";"122,41"
"220105 ASSUNCAO DO PIAUI";"0";"87,58";"76,47";"104,03";"91,74";"121,10";"80,92";"80,92";"112,07";"89,19";"82,14"
"220110 AVELINO LOPES";"0";"98,37";"102,17";"90,16";"83,68";"67,93";"57,14";"80,77";"107,06";"104,21";"79,05"
"220115 BAIXA GRANDE DO RIBEIRO";"0";"76,96";"116,52";"89,61";"134,88";"82,72";"72,27";"90,91";"75,96";"110,40";"84,06"
"220117 BARRA D\'ALCANTARA";"0";"142,22";"115,56";"105,45";"92,73";"108,70";"156,00";"120,00";"81,03";"93,18";"101,62"
"220120 BARRAS";"0";"64,34";"106,86";"97,62";"82,83";"75,56";"82,70";"100,85";"102,33";"91,87";"79,81"
"220130 BARREIRAS DO PIAUI";"0";"44,12";"120,59";"115,00";"41,30";"37,50";"116,00";"88,00";"145,71";"76,92";"75,28"
"220140 BARRO DURO";"0";"62,96";"112,96";"130,00";"150,00";"92,16";"78,63";"76,07";"107,45";"125,93";"92,48"
"220150 BATALHA";"0";"50,56";"65,28";"98,17";"93,03";"93,53";"109,23";"80,06";"69,32";"72,73";"72,77"
"220155 BELA VISTA DO PIAUI";"0";"88,33";"75,00";"151,28";"29,82";"94,00";"89,58";"85,42";"100,00";"133,33";"79,69"
"220157 BELEM DO PIAUI";"0";"64,71";"74,51";"160,53";"19,35";"55,26";"146,67";"136,67";"83,33";"71,79";"76,46"
"220160 BENEDITINOS";"0";"94,24";"104,32";"136,75";"85,29";"102,34";"119,05";"44,44";"98,43";"102,48";"87,67"
"220170 BERTOLINIA";"0";"102,35";"105,88";"112,79";"67,78";"100,00";"96,34";"89,02";"90,67";"117,39";"87,62"
"220173 BETANIA DO PIAUI";"0";"94,07";"109,32";"78,86";"82,73";"101,11";"130,61";"95,92";"84,75";"92,31";"85,57"
