MUNICIPIO;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019
220005 Acauã;5957;6824;6869;6910;6932;6954;6971;6988;7008;7027;7045;7065;7084
220010 Agricolândia;5281;5259;5238;5219;5209;5199;5191;5183;5174;5165;5157;5148;5139
220020 Água Branca;16403;16563;16708;16843;16916;16985;17042;17099;17164;17224;17284;17349;17411
220025 Alagoinha do Piauí;7411;7449;7484;7516;7533;7550;7563;7577;7592;7607;7621;7636;7651
220027 Alegrete do Piauí;5251;5260;5268;5276;5280;5284;5288;5291;4902;4905;4909;4912;4915
220030 Alto Longá;13713;13806;13892;13971;14014;14054;14088;14121;14159;14195;14230;14268;14304
220040 Altos;39144;39363;39562;39747;39847;39942;40020;40097;40186;40269;40351;40440;40524
220045 Alvorada do Gurguéia;4977;5047;5111;5170;5202;5232;5257;5282;5310;5337;5363;5392;5419
220050 Amarante;17500;17516;17530;17543;17550;17557;17562;17568;17574;17580;17586;17592;17598
220060 Angical do Piauí;6865;6852;6841;6831;6825;6820;6816;6811;6806;6802;6797;6792;6788
220070 Anísio de Abreu;8877;9036;9180;9315;9387;9457;9513;9569;9634;9694;9754;9818;9880
220080 Antônio Almeida;3070;3085;3098;3111;3118;3124;3130;3135;3141;3147;3152;3158;3164
220090 Aroazes;5981;5957;5937;5917;5906;5896;5888;5880;5871;5862;5853;5844;5835
220095 Aroeiras do Itaim;2497;2498;2498;2498;2498;2498;2498;2498;2499;2499;2551;2551;2551
220100 Arraial;4856;4836;4817;4800;4791;4782;4774;4767;4759;4751;4743;4735;4727
220105 Assunção do Piauí;7555;7601;7643;7682;7703;7723;7740;7756;7775;7792;7810;7828;7846
220110 Avelino Lopes;11045;11149;11243;11331;11378;11423;11461;11497;11539;11579;11618;11252;11289
220115 Baixa Grande do Ribeiro;10132;10362;10572;10767;10872;10972;11055;11136;11230;11317;11403;11497;11586
220117 Barra D'Alcântara;3938;3940;3942;3944;3945;3946;3946;3947;3948;3949;3950;3950;3951
220120 Barras;45028;45351;45644;45918;46065;46206;46321;46435;46566;46689;46810;46941;47066
220130 Barreiras do Piauí;3282;3293;3302;3311;3316;3320;3324;3328;3332;3336;3340;3344;3348
220140 Barro Duro;6813;6795;6779;6764;6756;6748;6742;7061;7054;7050;7044;7038;7032
220150 Batalha;26024;26157;26276;26388;26448;26505;26553;26599;26653;26703;26752;26806;26857
220155 Bela Vista do Piauí;3463;3796;3833;3868;3887;3905;3919;3934;3951;3967;3982;3999;4015
220157 Belém do Piauí;3159;3215;3266;3362;3388;3413;3434;3454;3477;3499;3520;3544;3566
220160 Beneditinos;10108;10122;10135;10147;10153;10160;10165;10170;10175;10181;10186;10462;10467
220170 Bertolínia;5403;5419;5433;5446;5453;5460;5465;5471;5477;5483;5489;5495;5501
220173 Betânia do Piauí;6122;6135;6147;6158;6164;6170;6174;6179;6184;6189;6194;6200;6205
220177 Boa Hora;6187;6281;6366;6446;6489;6530;6563;6597;6635;6671;6706;6744;6781
220180 Bocaina;4439;4452;4463;4473;4479;4484;4488;4493;4498;4502;4491;4496;4500
220190 Bom Jesus;21609;22175;22689;23168;23426;23672;23874;24073;24303;24518;24730;24960;25179
220191 Bom Princípio do Piauí;5275;5331;5382;5430;5456;5480;5500;5520;5543;5564;5585;5608;5630
220192 Bonfim do Piauí;5406;5448;5486;5521;5540;5558;5573;5588;5605;5621;5637;5654;5670
220194 Boqueirão do Piauí;6199;6251;6297;6341;6364;6387;6405;6423;6444;6348;6367;6388;6407
220196 Brasileira;8022;8071;8115;8156;8178;8199;8217;8234;8254;8272;8290;8310;8329
220198 Brejo do Piauí;3402;4070;4004;3942;3909;3877;3851;3825;3984;3957;3931;3902;3875
220200 Buriti dos Lopes;19332;19403;19468;19528;19560;19591;19617;19642;19671;19698;19725;19754;19781
220202 Buriti dos Montes;8009;8065;8116;8164;8190;8214;8234;8254;8277;7996;8201;8223;8244
220205 Cabeceiras do Piauí;9836;9955;10063;10164;10218;10270;10312;10354;10402;10448;10492;10540;10586
220207 Cajazeiras do Piauí;3318;3356;3391;3423;3440;3457;3471;3484;3500;3514;3528;3544;3559
220208 Cajueiro da Praia;7095;7182;7261;7334;7374;7411;7442;7473;7508;7541;7573;7608;7642
220209 Caldeirão Grande do Piauí;5767;5781;5794;5806;5813;5819;5824;5755;5754;5759;5765;5770;5776
220210 Campinas do Piauí;5479;5500;5519;5537;5547;5556;5563;5571;5579;5587;5595;5603;5613
220211 Campo Alegre do Fidalgo;5316;4687;4748;4805;4836;4865;4889;4913;4940;4966;4991;5019;5045
220213 Campo Grande do Piauí;5556;5618;5673;5725;5753;5780;5801;5823;5848;5871;5894;5919;5943
220217 Campo Largo do Piauí;6722;6810;6890;6965;7005;7044;7075;7106;7142;7176;7209;7245;7279
220220 Campo Maior;45803;45966;46115;46253;46327;46398;46457;46514;46581;46643;46704;46770;46833
